,Source,Restaurant Name,Author,Rating,Time,Review
0,Google,Amarprakash Temple Waves,Solomon Henry Stephen,"Rated 5.0 out of 5,",3 years ago,One of the coolest community with budget apartment. Property in new and very neat and clean. Recommend for family as well individuals.
1,Google,Amarprakash Temple Waves,Vijayalakshmi D,"Rated 5.0 out of 5,",4 months ago,Best location very closer to city yet calm and peaceful. Easy linking to Vandalur/ Poonamallee via ORR and Chromepet/ Airport & Radial road IT parks. Rapid developments around like Thirumudivakkam SiDCO etc
2,Google,Amarprakash Temple Waves,Saravanan Mohan,"Rated 1.0 out of 5,",2 months ago,Worst part about Amaraprakash temple waves no unity between president secretary or incharger no support.no street lights no proper road and recent worst behaviour is they opened drainage to nearest place in this rainy season.. worst raa..
3,Google,Amarprakash Temple Waves,pangean,"Rated 4.0 out of 5,",a year ago,Calm and quite place to stay in. This one is for value for money lovers😄. No much amenities but still a good place to be in. Well guarded by security staffs also.
4,Google,Amarprakash Temple Waves,suriya .c,"Rated 5.0 out of 5,",3 years ago,"I was searching for an apartment within my budget which includes more amenities. Finally, I found this builders who fulfilled all my needs. They have an enormous range of magnificent amenities that focus on academics, adventure, physical fitness, entertainment, recreation and so on. And its an economical and value for money in every aspects"
5,Google,Amarprakash Temple Waves,sathish kumar,"Rated 4.0 out of 5,",3 years ago,Good place to stay here love it
6,Google,Amarprakash Temple Waves,Gokul Prabhakaran,"Rated 5.0 out of 5,",10 months ago,"Best community to live in. Beat place to be away from air and sound pollution. Easy access to Chromepet, Porur, ORR (Vandalur -Minjur). Well maintained by the association."
7,Google,Amarprakash Temple Waves,Alwin Tavincy,"Rated 5.0 out of 5,",2 years ago,"This apartment located with nature-rich and water-rich. The quality of air, water and light around this building is the best thing. They provide so many amenities and fasilities fits with my lifestyle. I love the club house, it provides gym, indoor & outdoor game facilities."
8,Google,Amarprakash Temple Waves,Sridharan Narasimhan,"Rated 1.0 out of 5,",a year ago,All 5 star ratings are from whom I don't understand. They promised delivery in 2016. Still not handed over. Full payment already done.I am editing this message on 30th September 2021. The property was handed over to me a couple of week ago. There was a huge delay but not a denial. I sent an email to them asking for a status. Their representative called me to ask me to  inspect the flat and collect the keys. I did so although it was only 90% complete.Thank you Amarprakash. God helps.
9,Google,Amarprakash Temple Waves,MP Vishnu Menon,"Rated 3.0 out of 5,",2 years ago,It's okay. Not bad if you want to stay away from large public and small congested places. It is spacious and can give you a nice scenic change if you want that. Just it is too interior and do not have proper cab facilities and hard to commute that's why. Roads are not that great. Markets are nearby but you would need a bike if you feel like going to a market. Water supply is present. And you won't find issues with that. But with food order and all if you have stayed in a main place or heart of the city where you find multiple food options then you will miss those in this place. As zomato and swiggy do not have much options and also you won't have restaurants nearby..
10,Google,Amarprakash Temple Waves,Blessen B,"Rated 4.0 out of 5,",a year ago,"The place currently features good water supply alongside filtered R.O. water (mornings to night, and all days except Mondays) where both is available at your taps at home assuming you've paid the maintenance cost which is pricey. The Recreational Center or something like that which'll feature a public gym and swimming pool probably is under construction among other buildings which most likely will become more residential areas so it might take more time as most of the resources are spread open. The security system is quite good as security guards can contact home owners through a readily available app (which is quite advanced here for me) in case of someone coming to visit such as a delivery courier or someone else entirely. As a lot of vehicles have been there for a very long time which can be told by the quite easily visible gray dust that settles on top of them, it tells two things. Not alot of owners are present probably and security isn't that weak either so yeah. A visit will fill you in on the details which I might have left out which you had wanted to know. Hope this review helped!"
11,Google,Amarprakash Temple Waves,R Krishna,"Rated 4.0 out of 5,",2 years ago,"Hello everyone ,We booked a flat on 2012. They promised to gave keys on 2015 but they delayed and gave on 2016 only. While handover ceremony they said 3 sets of keys are given to all the flat owners but we got only 2 sets.  They lost 1 set of key for our flat. We ask them lot of times for this issue but till date we are not getting our keys. Very much disappointed. No proper response from their side. Apart from that this apartment is situated in very peaceful area. Friendly neighbours.  24/7 security service, lifts, electricity backups, RO water,  good groundwater, children's playarea."
12,Google,Amarprakash Temple Waves,Bharath,"Rated 5.0 out of 5,",3 years ago,"Its a sparkling and luminous construction. The feature and standard of amenities add to the quality of lifestyle privy to the society. These apartment are ideal for your daily workouts, yoga, meditation, stimulation and inspiration."
